Question,Answer,Answer choices,Start timestamp,End timestamp,Known start timestamp,Known end timestamp,Question type
Is Joe Allen a member of Stoke City F.C.?,no,,2022-06-01T00:00:00Z,,2023-11-01 00:00:00,,member of sports team
What sports team is Phil Jagielka a member of?,Stoke City F.C.,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,,member of sports team
Is Phil Jagielka a member of Stoke City F.C.?,yes,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,,member of sports team
Is Phil Jagielka a member of Stoke City F.C.?,no,,,2022-01-01T00:00:00Z,,2023-01-01T00:00:00Z,member of sports team
What sports team is Alex Chidiac a member of?,Melbourne Victory FC W-League,,2022-10-01T00:00:00Z,2023-02-01T00:00:00Z,2022-11-19T00:00:00Z,2023-09-01T00:00:00Z,member of sports team
Is Alex Chidiac a member of Melbourne Victory FC W-League?,yes,,2022-10-01T00:00:00Z,2023-02-01T00:00:00Z,2022-11-19T00:00:00Z,2023-09-01T00:00:00Z,member of sports team
Is Alex Chidiac a member of Melbourne Victory FC W-League?,no,,,2022-10-01T00:00:00Z,,2022-11-19T00:00:00Z,member of sports team
What sports team is Chris Gunter a member of?,AFC Wimbledon,,2022-07-01T00:00:00Z,2023-06-01T00:00:00Z,2022-07-01T00:00:00Z,,member of sports team
Is Chris Gunter a member of AFC Wimbledon?,yes,,2022-07-01T00:00:00Z,2023-06-01T00:00:00Z,2022-07-01T00:00:00Z,,member of sports team
Is Chris Gunter a member of AFC Wimbledon?,no,,,2022-07-01T00:00:00Z,,2022-07-01T00:00:00Z,member of sports team
What sports team is Jesse Lingard a member of?,Manchester United F.C.,,2011-01-01T00:00:00Z,2022-01-01T00:00:00Z,2017-04-01T00:00:00Z,2023-01-01T00:00:00Z,member of sports team
Is Jesse Lingard a member of Manchester United F.C.?,yes,,2011-01-01T00:00:00Z,2022-01-01T00:00:00Z,2017-04-01T00:00:00Z,2023-01-01T00:00:00Z,member of sports team
Is Jesse Lingard a member of Manchester United F.C.?,no,,2022-01-01T00:00:00Z,,2023-01-01 00:00:00,,member of sports team
What sports team is Haylee Fuller a member of?,Team Rupelcleaning,,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,2022-01-20T00:00:00Z,2024-02-01T00:00:00Z,member of sports team
Is Haylee Fuller a member of Team Rupelcleaning?,yes,,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,2022-01-20T00:00:00Z,2024-02-01T00:00:00Z,member of sports team
Is Haylee Fuller a member of Team Rupelcleaning?,no,,2022-12-31T00:00:00Z,,2024-02-01 00:00:00,,member of sports team
What sports team is Joe Allen a member of?,Swansea City A.F.C.,,2022-07-01T00:00:00Z,2024-04-30T10:30:37Z,2023-11-01T00:00:00Z,,member of sports team
Is Joe Allen a member of Swansea City A.F.C.?,yes,,2022-07-01T00:00:00Z,2024-04-30T10:30:37Z,2023-11-01T00:00:00Z,,member of sports team
Is Joe Allen a member of Swansea City A.F.C.?,no,,,2022-07-01T00:00:00Z,,2023-11-01T00:00:00Z,member of sports team
What sports team is Heidi Franz a member of?,Visit Dallas DNA Pro Cycling,,2023-04-28T00:00:00Z,2023-12-31T00:00:00Z,2023-08-01T00:00:00Z,2023-10-05T00:00:00Z,member of sports team
Is Heidi Franz a member of Visit Dallas DNA Pro Cycling?,yes,,2023-04-28T00:00:00Z,2023-12-31T00:00:00Z,2023-08-01T00:00:00Z,2023-10-05T00:00:00Z,member of sports team
Is Heidi Franz a member of Visit Dallas DNA Pro Cycling?,no,,2023-12-31T00:00:00Z,,2023-10-05 00:00:00,,member of sports team
What sports team is Erin McLeod a member of?,Orlando Pride,,2020-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-06-01T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Erin McLeod a member of Orlando Pride?,yes,,2020-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-06-01T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Erin McLeod a member of Orlando Pride?,no,,2023-01-01T00:00:00Z,,2023-02-01 00:00:00,,member of sports team
What sports team is Maggie Coles-Lyster a member of?,Roland,,2023-05-05T00:00:00Z,2024-04-30T10:30:37Z,2024-03-01T00:00:00Z,,member of sports team
Is Maggie Coles-Lyster a member of Roland?,yes,,2023-05-05T00:00:00Z,2024-04-30T10:30:37Z,2024-03-01T00:00:00Z,,member of sports team
Is Maggie Coles-Lyster a member of Roland?,no,,,2023-05-05T00:00:00Z,,2024-03-01T00:00:00Z,member of sports team
What sports team is Raheem Sterling a member of?,Chelsea F.C.,,2022-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-09-01T00:00:00Z,,member of sports team
Is Raheem Sterling a member of Chelsea F.C.?,yes,,2022-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-09-01T00:00:00Z,,member of sports team
Is Raheem Sterling a member of Chelsea F.C.?,no,,,2022-01-01T00:00:00Z,,2023-09-01T00:00:00Z,member of sports team
What sports team is Dwight McNeil a member of?,Burnley F.C.,,2018-01-01T00:00:00Z,2022-01-01T00:00:00Z,2019-11-01T00:00:00Z,2022-08-01T00:00:00Z,member of sports team
Is Dwight McNeil a member of Burnley F.C.?,yes,,2018-01-01T00:00:00Z,2022-01-01T00:00:00Z,2019-11-01T00:00:00Z,2022-08-01T00:00:00Z,member of sports team
Is Dwight McNeil a member of Burnley F.C.?,no,,2022-01-01T00:00:00Z,,2022-08-01 00:00:00,,member of sports team
What sports team is Matt Freese a member of?,Philadelphia Union II,,2019-01-01T00:00:00Z,2023-01-01T00:00:00Z,2021-04-01T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Matt Freese a member of Philadelphia Union II?,yes,,2019-01-01T00:00:00Z,2023-01-01T00:00:00Z,2021-04-01T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Matt Freese a member of Philadelphia Union II?,no,,2023-01-01T00:00:00Z,,2023-02-01 00:00:00,,member of sports team
What sports team is Remy Siemsen a member of?,Leicester City W.F.C.,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-02-01T00:00:00Z,,member of sports team
Is Remy Siemsen a member of Leicester City W.F.C.?,yes,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-02-01T00:00:00Z,,member of sports team
Is Remy Siemsen a member of Leicester City W.F.C.?,no,,,2023-01-01T00:00:00Z,,2023-02-01T00:00:00Z,member of sports team
What sports team is Dakota Mathias a member of?,Memphis Hustle,,2022-10-01T00:00:00Z,2024-04-30T10:30:37Z,2023-04-01T00:00:00Z,,member of sports team
Is Dakota Mathias a member of Memphis Hustle?,yes,,2022-10-01T00:00:00Z,2024-04-30T10:30:37Z,2023-04-01T00:00:00Z,,member of sports team
Is Dakota Mathias a member of Memphis Hustle?,no,,,2022-10-01T00:00:00Z,,2023-04-01T00:00:00Z,member of sports team
What sports team is Mark Donovan a member of?,Q36.5 Pro Cycling Team,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-07-01T00:00:00Z,,member of sports team
Is Mark Donovan a member of Q36.5 Pro Cycling Team?,yes,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-07-01T00:00:00Z,,member of sports team
Is Mark Donovan a member of Q36.5 Pro Cycling Team?,no,,,2023-01-01T00:00:00Z,,2023-07-01T00:00:00Z,member of sports team
What sports team is Mark Donovan a member of?,Team DSM,,2020-01-01T00:00:00Z,2022-01-01T00:00:00Z,2021-02-04T00:00:00Z,2023-07-01T00:00:00Z,member of sports team
Is Mark Donovan a member of Team DSM?,yes,,2020-01-01T00:00:00Z,2022-01-01T00:00:00Z,2021-02-04T00:00:00Z,2023-07-01T00:00:00Z,member of sports team
Is Mark Donovan a member of Team DSM?,no,,2022-01-01T00:00:00Z,,2023-07-01 00:00:00,,member of sports team
What sports team is Djed Spence a member of?,Genoa CFC,,2024-01-11T00:00:00Z,2024-04-30T10:30:37Z,2024-01-01T00:00:00Z,,member of sports team
Is Djed Spence a member of Genoa CFC?,yes,,2024-01-11T00:00:00Z,2024-04-30T10:30:37Z,2024-01-01T00:00:00Z,,member of sports team
Is Djed Spence a member of Genoa CFC?,no,,,2024-01-11T00:00:00Z,,2024-01-01T00:00:00Z,member of sports team
What sports team is Jordan Ta'amu a member of?,Tampa Bay Bandits,,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,2022-02-18T00:00:00Z,2023-01-01T00:00:00Z,member of sports team
Is Jordan Ta'amu a member of Tampa Bay Bandits?,yes,,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,2022-02-18T00:00:00Z,2023-01-01T00:00:00Z,member of sports team
Is Jordan Ta'amu a member of Tampa Bay Bandits?,no,,2022-01-01T00:00:00Z,,2023-01-01 00:00:00,,member of sports team
What sports team is Jordan Ta'amu a member of?,DC Defenders,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-01-01T00:00:00Z,,member of sports team
Is Jordan Ta'amu a member of DC Defenders?,yes,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-01-01T00:00:00Z,,member of sports team
Is Jordan Ta'amu a member of DC Defenders?,no,,,2023-01-01T00:00:00Z,,2023-01-01T00:00:00Z,member of sports team
What sports team is Steven Montez a member of?,Detroit Lions,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,2021-09-01T00:00:00Z,2023-04-01T00:00:00Z,member of sports team
Is Steven Montez a member of Detroit Lions?,yes,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,2021-09-01T00:00:00Z,2023-04-01T00:00:00Z,member of sports team
Is Steven Montez a member of Detroit Lions?,no,,2022-01-01T00:00:00Z,,2023-04-01 00:00:00,,member of sports team
What sports team is Jordan Caroline a member of?,Bàsquet Manresa,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-12-01T00:00:00Z,,member of sports team
Is Jordan Caroline a member of Bàsquet Manresa?,yes,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-12-01T00:00:00Z,,member of sports team
What sports team is Aaron Henry a member of?,Fighting Eagles Nagoya,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-07-01T00:00:00Z,,member of sports team
Is Aaron Henry a member of Fighting Eagles Nagoya?,yes,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-07-01T00:00:00Z,,member of sports team
Is Aaron Henry a member of Fighting Eagles Nagoya?,no,,,2023-01-01T00:00:00Z,,2023-07-01T00:00:00Z,member of sports team
What sports team is Haley Cavinder a member of?,Fresno State Bulldogs women's basketball,,2019-01-01T00:00:00Z,2022-01-01T00:00:00Z,2019-11-01T00:00:00Z,2023-01-01T00:00:00Z,member of sports team
Is Haley Cavinder a member of Fresno State Bulldogs women's basketball?,yes,,2019-01-01T00:00:00Z,2022-01-01T00:00:00Z,2019-11-01T00:00:00Z,2023-01-01T00:00:00Z,member of sports team
Is Haley Cavinder a member of Fresno State Bulldogs women's basketball?,no,,2022-01-01T00:00:00Z,,2023-01-01 00:00:00,,member of sports team
What sports team is Haley Cavinder a member of?,Miami Hurricanes women's basketball,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,,member of sports team
Is Haley Cavinder a member of Miami Hurricanes women's basketball?,yes,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,,member of sports team
Is Haley Cavinder a member of Miami Hurricanes women's basketball?,no,,,2022-01-01T00:00:00Z,,2023-01-01T00:00:00Z,member of sports team
What sports team is Flora Perkins a member of?,Fenix-Deceuninck,,2024-01-01T00:00:00Z,2024-04-30T10:30:37Z,2024-04-01T00:00:00Z,,member of sports team
Is Flora Perkins a member of Fenix-Deceuninck?,yes,,2024-01-01T00:00:00Z,2024-04-30T10:30:37Z,2024-04-01T00:00:00Z,,member of sports team
Is Flora Perkins a member of Fenix-Deceuninck?,no,,,2024-01-01T00:00:00Z,,2024-04-01T00:00:00Z,member of sports team
What sports team is Haylee Fuller a member of?,Team BridgeLane Women,,2023-03-07T00:00:00Z,2024-04-30T10:30:37Z,2024-02-01T00:00:00Z,,member of sports team
Is Haylee Fuller a member of Team BridgeLane Women?,yes,,2023-03-07T00:00:00Z,2024-04-30T10:30:37Z,2024-02-01T00:00:00Z,,member of sports team
Is Haylee Fuller a member of Team BridgeLane Women?,no,,,2023-03-07T00:00:00Z,,2024-02-01T00:00:00Z,member of sports team
What sports team is Samu Kerevi a member of?,Urayasu D-Rocks,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-07-01T00:00:00Z,,member of sports team
Is Samu Kerevi a member of Urayasu D-Rocks?,yes,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-07-01T00:00:00Z,,member of sports team
Is Samu Kerevi a member of Urayasu D-Rocks?,no,,,2023-01-01T00:00:00Z,,2023-07-01T00:00:00Z,member of sports team
What sports team is Samu Kerevi a member of?,Tokyo Suntory Sungoliath,,2019-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-01-01T00:00:00Z,2023-07-01T00:00:00Z,member of sports team
Is Samu Kerevi a member of Tokyo Suntory Sungoliath?,yes,,2019-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-01-01T00:00:00Z,2023-07-01T00:00:00Z,member of sports team
Is Samu Kerevi a member of Tokyo Suntory Sungoliath?,no,,2023-01-01T00:00:00Z,,2023-07-01 00:00:00,,member of sports team
What sports team is Tao Geoghegan Hart a member of?,Ineos Grenadiers,,2017-01-01T00:00:00Z,2023-01-01T00:00:00Z,2020-11-01T00:00:00Z,2024-03-01T00:00:00Z,member of sports team
Is Tao Geoghegan Hart a member of Ineos Grenadiers?,yes,,2017-01-01T00:00:00Z,2023-01-01T00:00:00Z,2020-11-01T00:00:00Z,2024-03-01T00:00:00Z,member of sports team
Is Tao Geoghegan Hart a member of Ineos Grenadiers?,no,,2023-01-01T00:00:00Z,,2024-03-01 00:00:00,,member of sports team
What sports team is Michael Storer a member of?,Tudor Pro Cycling Team,,2024-01-01T00:00:00Z,2024-04-30T10:30:37Z,2024-02-01T00:00:00Z,,member of sports team
Is Michael Storer a member of Tudor Pro Cycling Team?,yes,,2024-01-01T00:00:00Z,2024-04-30T10:30:37Z,2024-02-01T00:00:00Z,,member of sports team
Is Michael Storer a member of Tudor Pro Cycling Team?,no,,,2024-01-01T00:00:00Z,,2024-02-01T00:00:00Z,member of sports team
What sports team is Finlay Pickering a member of?,Trinity Racing,,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,2024-02-01T00:00:00Z,member of sports team
Is Finlay Pickering a member of Trinity Racing?,yes,,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-05-01T00:00:00Z,2024-02-01T00:00:00Z,member of sports team
Is Finlay Pickering a member of Trinity Racing?,no,,2023-01-01T00:00:00Z,,2024-02-01 00:00:00,,member of sports team
What sports team is Alastair MacKellar a member of?,Israel Premier Tech Academy,,2021-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-10-01T00:00:00Z,2024-01-01T00:00:00Z,member of sports team
Is Alastair MacKellar a member of Israel Premier Tech Academy?,yes,,2021-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-10-01T00:00:00Z,2024-01-01T00:00:00Z,member of sports team
Is Alastair MacKellar a member of Israel Premier Tech Academy?,no,,2023-01-01T00:00:00Z,,2024-01-01 00:00:00,,member of sports team
What sports team is Xavier Cooks a member of?,Washington Wizards,,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-03-01T00:00:00Z,,member of sports team
Is Xavier Cooks a member of Washington Wizards?,yes,,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-03-01T00:00:00Z,,member of sports team
Is Xavier Cooks a member of Washington Wizards?,no,,,2023-01-01T00:00:00Z,,2023-03-01T00:00:00Z,member of sports team
What sports team is Tegan McGrady a member of?,San Diego Wave FC,,2022-01-01T00:00:00Z,2022-07-01T00:00:00Z,2022-04-01T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Tegan McGrady a member of San Diego Wave FC?,yes,,2022-01-01T00:00:00Z,2022-07-01T00:00:00Z,2022-04-01T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Tegan McGrady a member of San Diego Wave FC?,no,,2022-07-01T00:00:00Z,,2023-02-01 00:00:00,,member of sports team
What sports team is Mark Stewart a member of?,Bolton Equities Black Spoke Pro Cycling,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-02-01T00:00:00Z,2023-10-18T00:00:00Z,member of sports team
Is Mark Stewart a member of Bolton Equities Black Spoke Pro Cycling?,yes,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-02-01T00:00:00Z,2023-10-18T00:00:00Z,member of sports team
Is Mark Stewart a member of Bolton Equities Black Spoke Pro Cycling?,no,,2023-01-01T00:00:00Z,,2023-10-18 00:00:00,,member of sports team
What sports team is Max Stedman a member of?,Beykoz Belediyesi Spor Kulübü,,2023-07-05T00:00:00Z,2024-04-30T10:30:37Z,2023-10-12T00:00:00Z,,member of sports team
Is Max Stedman a member of Beykoz Belediyesi Spor Kulübü?,yes,,2023-07-05T00:00:00Z,2024-04-30T10:30:37Z,2023-10-12T00:00:00Z,,member of sports team
Is Max Stedman a member of Beykoz Belediyesi Spor Kulübü?,no,,,2023-07-05T00:00:00Z,,2023-10-12T00:00:00Z,member of sports team
What sports team is Cameron Parker a member of?,Montana Grizzlies basketball,,2020-01-01T00:00:00Z,2022-01-01T00:00:00Z,2020-08-01T00:00:00Z,2022-05-01T00:00:00Z,member of sports team
Is Cameron Parker a member of Montana Grizzlies basketball?,yes,,2020-01-01T00:00:00Z,2022-01-01T00:00:00Z,2020-08-01T00:00:00Z,2022-05-01T00:00:00Z,member of sports team
Is Cameron Parker a member of Montana Grizzlies basketball?,no,,2022-01-01T00:00:00Z,,2022-05-01 00:00:00,,member of sports team
What sports team is James Milner a member of?,Brighton & Hove Albion F.C.,,2023-07-01T00:00:00Z,2024-04-30T10:30:37Z,2024-02-01T00:00:00Z,,member of sports team
Is James Milner a member of Brighton & Hove Albion F.C.?,yes,,2023-07-01T00:00:00Z,2024-04-30T10:30:37Z,2024-02-01T00:00:00Z,,member of sports team
Is James Milner a member of Brighton & Hove Albion F.C.?,no,,,2023-07-01T00:00:00Z,,2024-02-01T00:00:00Z,member of sports team
What sports team is Deshaun Thomas a member of?,Olimpia Milano,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-08-01T00:00:00Z,2023-08-01T00:00:00Z,member of sports team
Is Deshaun Thomas a member of Olimpia Milano?,yes,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-08-01T00:00:00Z,2023-08-01T00:00:00Z,member of sports team
Is Deshaun Thomas a member of Olimpia Milano?,no,,,2022-01-01T00:00:00Z,,2022-08-01T00:00:00Z,member of sports team
What sports team is Ryan Edmondson a member of?,Carlisle United F.C.,,2022-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-06-01T00:00:00Z,,member of sports team
Is Ryan Edmondson a member of Carlisle United F.C.?,yes,,2022-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-06-01T00:00:00Z,,member of sports team
Is Ryan Edmondson a member of Carlisle United F.C.?,no,,,2022-01-01T00:00:00Z,,2023-06-01T00:00:00Z,member of sports team
What sports team is James Whelan a member of?,Glassdrive–Q8–Anicolor,,2023-05-10T00:00:00Z,2023-12-31T00:00:00Z,2023-11-01T00:00:00Z,,member of sports team
Is James Whelan a member of Glassdrive–Q8–Anicolor?,yes,,2023-05-10T00:00:00Z,2023-12-31T00:00:00Z,2023-11-01T00:00:00Z,,member of sports team
Is James Whelan a member of Glassdrive–Q8–Anicolor?,no,,,2023-05-10T00:00:00Z,,2023-11-01T00:00:00Z,member of sports team
What sports team is Anna Kay a member of?,Team Rupelcleaning,,2021-04-01T00:00:00Z,2021-12-31T00:00:00Z,2021-02-26T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Anna Kay a member of Team Rupelcleaning?,yes,,2021-04-01T00:00:00Z,2021-12-31T00:00:00Z,2021-02-26T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Anna Kay a member of Team Rupelcleaning?,no,,2021-12-31T00:00:00Z,,2023-02-01 00:00:00,,member of sports team
What sports team is Jack Coan a member of?,San Antonio Brahmas,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-05-01T00:00:00Z,,member of sports team
Is Jack Coan a member of San Antonio Brahmas?,yes,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-05-01T00:00:00Z,,member of sports team
Is Jack Coan a member of San Antonio Brahmas?,no,,,2023-01-01T00:00:00Z,,2023-05-01T00:00:00Z,member of sports team
What sports team is Nesta Jade Silvera a member of?,Arizona State Sun Devils football,,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,2023-05-01T00:00:00Z,member of sports team
Is Nesta Jade Silvera a member of Arizona State Sun Devils football?,yes,,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,2022-02-01T00:00:00Z,2023-05-01T00:00:00Z,member of sports team
Is Nesta Jade Silvera a member of Arizona State Sun Devils football?,no,,2022-01-01T00:00:00Z,,2023-05-01 00:00:00,,member of sports team
What sports team is Charlie Tanfield a member of?,Saint Piran,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-09-01T00:00:00Z,,member of sports team
Is Charlie Tanfield a member of Saint Piran?,yes,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-09-01T00:00:00Z,,member of sports team
Is Charlie Tanfield a member of Saint Piran?,no,,,2023-01-01T00:00:00Z,,2023-09-01T00:00:00Z,member of sports team
What sports team is Kevin Pangos a member of?,Cleveland Charge,,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,2022-03-01T00:00:00Z,2022-09-01T00:00:00Z,member of sports team
Is Kevin Pangos a member of Cleveland Charge?,yes,,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,2022-03-01T00:00:00Z,2022-09-01T00:00:00Z,member of sports team
Is Kevin Pangos a member of Cleveland Charge?,no,,,2022-01-01T00:00:00Z,,2022-03-01T00:00:00Z,member of sports team
What sports team is Dominic Fletcher a member of?,Italy national baseball team,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-03-01T00:00:00Z,,member of sports team
Is Dominic Fletcher a member of Italy national baseball team?,yes,,2023-01-01T00:00:00Z,2024-04-30T10:30:37Z,2023-03-01T00:00:00Z,,member of sports team
Is Dominic Fletcher a member of Italy national baseball team?,no,,,2023-01-01T00:00:00Z,,2023-03-01T00:00:00Z,member of sports team
What sports team is Kyra Carusa a member of?,HB Køge,,2020-01-01T00:00:00Z,2023-01-01T00:00:00Z,2021-04-01T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Kyra Carusa a member of HB Køge?,yes,,2020-01-01T00:00:00Z,2023-01-01T00:00:00Z,2021-04-01T00:00:00Z,2023-02-01T00:00:00Z,member of sports team
Is Kyra Carusa a member of HB Køge?,no,,2023-01-01T00:00:00Z,,2023-02-01 00:00:00,,member of sports team
What sports team is Davion Warren a member of?,College Park Skyhawks,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-11-01T00:00:00Z,2024-02-01T00:00:00Z,member of sports team
Is Davion Warren a member of College Park Skyhawks?,yes,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-11-01T00:00:00Z,2024-02-01T00:00:00Z,member of sports team
Is Davion Warren a member of College Park Skyhawks?,no,,,2022-01-01T00:00:00Z,,2022-11-01T00:00:00Z,member of sports team
What sports team is Cyrus Christie a member of?,Hull City A.F.C.,,2022-08-01T00:00:00Z,2024-04-30T10:30:37Z,2023-02-01T00:00:00Z,,member of sports team
Is Cyrus Christie a member of Hull City A.F.C.?,yes,,2022-08-01T00:00:00Z,2024-04-30T10:30:37Z,2023-02-01T00:00:00Z,,member of sports team
Is Cyrus Christie a member of Hull City A.F.C.?,no,,,2022-08-01T00:00:00Z,,2023-02-01T00:00:00Z,member of sports team
What sports team is Michael Lorenzen a member of?,Philadelphia Phillies,,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-09-01T00:00:00Z,,member of sports team
Is Michael Lorenzen a member of Philadelphia Phillies?,yes,,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-09-01T00:00:00Z,,member of sports team
What sports team is Joseph Blackmore a member of?,Team Inspired,,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-10-01T00:00:00Z,2024-03-01T00:00:00Z,member of sports team
Is Joseph Blackmore a member of Team Inspired?,yes,,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,2023-10-01T00:00:00Z,2024-03-01T00:00:00Z,member of sports team
Is Joseph Blackmore a member of Team Inspired?,no,,2023-01-01T00:00:00Z,,2024-03-01 00:00:00,,member of sports team
What sports team is Joseph Blackmore a member of?,Israel Premier Tech Academy,,2024-01-01T00:00:00Z,2024-04-30T10:30:37Z,2024-03-01T00:00:00Z,,member of sports team
Is Joseph Blackmore a member of Israel Premier Tech Academy?,yes,,2024-01-01T00:00:00Z,2024-04-30T10:30:37Z,2024-03-01T00:00:00Z,,member of sports team
Is Joseph Blackmore a member of Israel Premier Tech Academy?,no,,,2024-01-01T00:00:00Z,,2024-03-01T00:00:00Z,member of sports team
What sports team is Scott McGill a member of?,Project Echelon Racing,,2024-01-01T00:00:00Z,2024-04-30T10:30:37Z,2024-04-01T00:00:00Z,,member of sports team
Is Scott McGill a member of Project Echelon Racing?,yes,,2024-01-01T00:00:00Z,2024-04-30T10:30:37Z,2024-04-01T00:00:00Z,,member of sports team
Is Scott McGill a member of Project Echelon Racing?,no,,,2024-01-01T00:00:00Z,,2024-04-01T00:00:00Z,member of sports team
What sports team is Scott McGill a member of?,Wildlife Generation Pro Cycling,,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,2022-11-01T00:00:00Z,2022-11-10T00:00:00Z,member of sports team
Is Scott McGill a member of Wildlife Generation Pro Cycling?,yes,,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,2022-11-01T00:00:00Z,2022-11-10T00:00:00Z,member of sports team
Is Scott McGill a member of Wildlife Generation Pro Cycling?,no,,2022-01-01T00:00:00Z,,2022-11-10 00:00:00,,member of sports team
What sports team is Magdeleine Vallieres a member of?,EF Education-Tibco-SVB,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-08-01T00:00:00Z,2024-02-01T00:00:00Z,member of sports team
Is Magdeleine Vallieres a member of EF Education-Tibco-SVB?,yes,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-08-01T00:00:00Z,2024-02-01T00:00:00Z,member of sports team
Is Magdeleine Vallieres a member of EF Education-Tibco-SVB?,no,,2023-01-01T00:00:00Z,,2024-02-01 00:00:00,,member of sports team
What sports team is Jaclyn Sawicki a member of?,Western United FC,,2022-01-01T00:00:00Z,2024-04-30T10:30:37Z,2022-12-01T00:00:00Z,,member of sports team
Is Jaclyn Sawicki a member of Western United FC?,yes,,2022-01-01T00:00:00Z,2024-04-30T10:30:37Z,2022-12-01T00:00:00Z,,member of sports team
What sports team is Roosevelt Adams a member of?,Kagawa Five Arrows,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-10-01T00:00:00Z,,member of sports team
Is Roosevelt Adams a member of Kagawa Five Arrows?,yes,,2022-01-01T00:00:00Z,2023-01-01T00:00:00Z,2022-10-01T00:00:00Z,,member of sports team
Is Roosevelt Adams a member of Kagawa Five Arrows?,no,,,2022-01-01T00:00:00Z,,2022-10-01T00:00:00Z,member of sports team
